,SYMBOL,Gene,Feature
515,ADAD2,ENSG00000140955,ENST00000567413
516,ADAD2,ENSG00000140955,ENST00000563849
517,RP11-486L19.2,ENSG00000250685,ENST00000561900
518,RP11-486L19.2,ENSG00000250685,ENST00000536986
519,RP11-486L19.2,ENSG00000250685,ENST00000569834
520,ADAD2,ENSG00000140955,ENST00000569221
521,ADAD2,ENSG00000140955,ENST00000268624
522,RP11-486L19.2,ENSG00000250685,ENST00000565643
523,ADAD2,ENSG00000140955,ENST00000564169
524,ADAD2,ENSG00000140955,ENST00000315906
525,ADAD2,ENSG00000140955,ENST00000564430
526,ADAD2,ENSG00000140955,ENST00000567685
527,FCER2,ENSG00000104921,ENST00000597934
528,FCER2,ENSG00000104921,ENST00000597921
529,FCER2,ENSG00000104921,ENST00000593418
530,FCER2,ENSG00000104921,ENST00000598803
531,FCER2,ENSG00000104921,ENST00000597312
532,FCER2,ENSG00000104921,ENST00000360067
533,FCER2,ENSG00000104921,ENST00000346664
534,,,ENSR00001909345
535,SPRED3,ENSG00000188766,ENST00000586301
536,SPRED3,ENSG00000188766,ENST00000587564
537,SPRED3,ENSG00000188766,ENST00000586958
538,SPRED3,ENSG00000188766,ENST00000587013
539,SPRED3,ENSG00000188766,ENST00000587947
540,SPRED3,ENSG00000188766,ENST00000590962
541,SPRED3,ENSG00000188766,ENST00000338502
542,ZNF600,ENSG00000189190,ENST00000594028
543,ZNF600,ENSG00000189190,ENST00000598369
544,ZNF600,ENSG00000189190,ENST00000360272
545,ZNF600,ENSG00000189190,ENST00000338230
546,ZNF600,ENSG00000189190,ENST00000597124
547,ZNF600,ENSG00000189190,ENST00000599893
548,LILRA5,ENSG00000187116,ENST00000432233
549,AC008984.2,ENSG00000275210,ENST00000616950
550,LILRA5,ENSG00000187116,ENST00000486742
551,AC008984.7,ENSG00000234436,ENST00000426257
552,LILRA5,ENSG00000187116,ENST00000446712
553,LILRA5,ENSG00000187116,ENST00000477720
554,LILRA5,ENSG00000187116,ENST00000489504
555,OVOL2,ENSG00000125850,ENST00000486776
556,OVOL2,ENSG00000125850,ENST00000278780
557,OVOL2,ENSG00000125850,ENST00000494030
558,OVOL2,ENSG00000125850,ENST00000483661
559,OVOL2,ENSG00000125850,ENST00000462208
560,LPIN3,ENSG00000132793,ENST00000373257
561,CDH26,ENSG00000124215,ENST00000456106
562,CDH26,ENSG00000124215,ENST00000370991
